sites,latitude,longitude,depth_top_cm,depth_bottom_cm,texture_code,texture_description,horizon_name
NC23_site_1-25706,45.8027,-90.0797,43,74,GR-SL,Gravelly sandy loam,E/B
NC23_site_1-25706,45.8027,-90.0797,74,94,GR-SL,Gravelly sandy loam,B/E
NC23_site_1-25706,45.8027,-90.0797,94,117,GR-SL,Gravelly sandy loam,Bt
NC23_site_1-25706,45.8027,-90.0797,117,147,SL,Sandy loam,BCd
NC23_site_1-25706,45.8027,-90.0797,147,152,SL,Sandy loam,Cd
OF01_site_1-25707,46.1935,-89.2415,0,51,MUCK,Muck,Oa1
OF01_site_1-25707,46.1935,-89.2415,51,203,MUCK,Muck,Oa2
OF02_site_1-25708,46.3468,-89.1812,0,5,HPM,Highly decomposed plant material,Oa
OF02_site_1-25708,46.3468,-89.1812,5,10,LS,Loamy sand,E
OF02_site_1-25708,46.3468,-89.1812,10,18,LS,Loamy sand,Bs1
OF02_site_1-25708,46.3468,-89.1812,18,43,LS,Loamy sand,Bs2
OF02_site_1-25708,46.3468,-89.1812,43,56,COS,Coarse sand,Bs3
OF02_site_1-25708,46.3468,-89.1812,56,89,S,Sand,BC
OF02_site_1-25708,46.3468,-89.1812,89,203,COS,Coarse sand,C
OF04_site_1-25709,46.2674,-89.3014,0,2,MPM,Moderately decomposed plant material,Oe
OF04_site_1-25709,46.2674,-89.3014,2,15,LFS,Loamy fine sand,E
OF04_site_1-25709,46.2674,-89.3014,15,21,LFS,Loamy fine sand,Bhs
OF04_site_1-25709,46.2674,-89.3014,21,38,LFS,Loamy fine sand,Bs1
OF04_site_1-25709,46.2674,-89.3014,38,45,FS,Fine sand,Bs2
OF04_site_1-25709,46.2674,-89.3014,45,70,FS,Fine sand,BC
OF04_site_1-25709,46.2674,-89.3014,70,203,FS,Fine sand,C
OF05_site_1-25710,46.3023,-89.2381,0,3,SPM,Slightly decomposed plant material,Oi
OF05_site_1-25710,46.3023,-89.2381,3,13,FSL,Fine sandy loam,A
OF05_site_1-25710,46.3023,-89.2381,13,20,SIL,Silt loam,E
OF05_site_1-25710,46.3023,-89.2381,20,30,SIL,Silt loam,Bhs
OF05_site_1-25710,46.3023,-89.2381,30,51,FSL,Fine sandy loam,Bs
OF05_site_1-25710,46.3023,-89.2381,51,84,GR-FSL,Gravelly fine sandy loam,2E/Bx
OF05_site_1-25710,46.3023,-89.2381,84,124,FSL,Fine sandy loam,2B/Ex
OF05_site_1-25710,46.3023,-89.2381,124,137,FSL,Fine sandy loam,2Bt
OF05_site_1-25710,46.3023,-89.2381,137,173,FSL,Fine sandy loam,2BC
OF05_site_1-25710,46.3023,-89.2381,173,203,GR-S,Gravelly sand,3C
PB03_site_1-25711,46.7961,-90.9486,0,10,SIL,Silt loam,A
PB03_site_1-25711,46.7961,-90.9486,10,23,SIL,Silt loam,E/B
PB03_site_1-25711,46.7961,-90.9486,23,81,C,Clay,Bt
PB03_site_1-25711,46.7961,-90.9486,81,130,C,Clay,Btk
PB03_site_1-25711,46.7961,-90.9486,130,203,SR- VFS SI,Stratified very fine sand to silt,2C
PB05_site_1-25712,46.3524,-91.6614,0,3,S,Sand,A
PB05_site_1-25712,46.3524,-91.6614,3,15,S,Sand,E
PB05_site_1-25712,46.3524,-91.6614,15,46,S,Sand,Bs
PB05_site_1-25712,46.3524,-91.6614,46,91,S,Sand,BC
PB05_site_1-25712,46.3524,-91.6614,91,152,S,Sand,C
PB07_site_1-25713,46.4402,-91.4676,0,3,S,Sand,A
PB07_site_1-25713,46.4402,-91.4676,3,15,S,Sand,E
PB07_site_1-25713,46.4402,-91.4676,15,46,S,Sand,Bs
PB07_site_1-25713,46.4402,-91.4676,46,91,S,Sand,BC
PB07_site_1-25713,46.4402,-91.4676,91,152,S,Sand,C
PB08_site_1-25714,46.4427,-91.4905,0,3,S,Sand,A
PB08_site_1-25714,46.4427,-91.4905,3,15,S,Sand,E
PB08_site_1-25714,46.4427,-91.4905,15,46,S,Sand,Bs
PB08_site_1-25714,46.4427,-91.4905,46,91,S,Sand,BC
PB08_site_1-25714,46.4427,-91.4905,91,152,S,Sand,C
PB09_site_1-25715,46.4325,-91.5199,0,3,S,Sand,A
PB09_site_1-25715,46.4325,-91.5199,3,15,S,Sand,E
PB09_site_1-25715,46.4325,-91.5199,15,46,S,Sand,Bs
PB09_site_1-25715,46.4325,-91.5199,46,91,S,Sand,BC
PB09_site_1-25715,46.4325,-91.5199,91,152,S,Sand,C
PB10_site_1-25716,46.4331,-91.5476,0,3,S,Sand,A
PB10_site_1-25716,46.4331,-91.5476,3,15,S,Sand,E
PB10_site_1-25716,46.4331,-91.5476,15,46,S,Sand,Bs
PB10_site_1-25716,46.4331,-91.5476,46,91,S,Sand,BC
PB10_site_1-25716,46.4331,-91.5476,91,152,S,Sand,C
PB11_site_1-25717,45.6914,-92.8316,0,10,S,Sand,A
PB11_site_1-25717,45.6914,-92.8316,10,74,S,Sand,Bw
PB11_site_1-25717,45.6914,-92.8316,74,152,S,Sand,C
PB12_site_1-25718,45.9405,-92.478,0,8,LS,Loamy sand,A
PB12_site_1-25718,45.9405,-92.478,8,76,LS,Loamy sand,Bw
PB12_site_1-25718,45.9405,-92.478,76,114,SL,Sandy loam,2Bt
PB12_site_1-25718,45.9405,-92.478,114,203,SL,Sandy loam,2BCd
PB13_site_1-25719,46.1367,-91.9892,0,15,S,Sand,A
PB13_site_1-25719,46.1367,-91.9892,15,84,S,Sand,Bw
PB13_site_1-25719,46.1367,-91.9892,84,152,S,Sand,C
PB14_site_1-25736,46.4307,-91.5292,0,3,S,Sand,A
PB14_site_1-25736,46.4307,-91.5292,3,15,S,Sand,E
PB14_site_1-25736,46.4307,-91.5292,15,46,S,Sand,Bs
PB14_site_1-25736,46.4307,-91.5292,46,91,S,Sand,BC
PB14_site_1-25736,46.4307,-91.5292,91,152,S,Sand,C
SF03_site_1-25721,47.7745,-92.4586,0,5,LS,Loamy sand,A
SF03_site_1-25721,47.7745,-92.4586,5,94,LS,Loamy sand,Bw
SF03_site_1-25721,47.7745,-92.4586,94,122,S,Sand,E and Bt
SF03_site_1-25721,47.7745,-92.4586,122,203,COS,Coarse sand,C
SF04_site_1-25722,47.7529,-92.4692,0,25,PEAT,Peat,Oi
SF04_site_1-25722,47.7529,-92.4692,25,61,MPT,Mucky peat,Oe1
SF04_site_1-25722,47.7529,-92.4692,61,203,MPT,Mucky peat,Oe2
